HALTESTELLENNAME;ZUGEHOERIGKEIT;Linien die Haltestelle bedienen;Fahrrichtung;X;Y
Betriebsgebaeude 02;LINZ Linien;L018;Simonystrasse;73585;348873
Betriebsgebaeude 34;LINZ Linien;L018;VOEST Alpine;74783;348770
Betriebsgebaeude 34;LINZ Linien;L018;Simonystrasse;74783;348770
Betriebsgebaeude 41;LINZ Linien;L025;Karlhof;73446;349305
Betriebsgebaeude 41;LINZ Linien;L025;Oed;73446;349305
Betriebsgebaeude 47;LINZ Linien;L018, L025;VOEST Alpine, Oed;73428;349006
Betriebsgebaeude 47;LINZ Linien;L018, L025;Simonystrasse, Karlhof;73428;349006
Biberweg;LINZ Linien;L011, L019;Pichlinger See;76761;346165
Biberweg;LINZ Linien;L011, L019;Meixnerkreuzung;76761;346165
Biegung;LINZ Linien;L003, L050;Landgutstrasse;70424;353154
Biegung;LINZ Linien;L003, L050;Hauptbahnhof;70424;353154
Biegung;LINZ Linien;L033, L038, L102;Pleschinger See, Jaeger im Tal, Worathweg;70424;353154
Biegung;LINZ Linien;L033, L038, L102;Rudolfstrasse;70424;353154
Binderlandweg;LINZ Linien;L041, L071;Hessenplatz, Hauptbahnhof;70633;345670
Binderlandweg;LINZ Linien;L041, L073;Baintwiese;70633;345670
Blumauerplatz;LINZ Linien;L027, L073;Chemiepark, Fernheizkraftwerk;71341,38;351106,96
Blumauerplatz;LINZ Linien;L027, L077;Hauptbahnhof;71341,38;351106,96
Blumauerplatz;LINZ Linien;L070, L071;Hauptbahnhof;71341,38;351106,96
Blumauerstrasse;LINZ Linien;L073;Fernheizkraftwerk;71603;351322
Blumauerstrasse;LINZ Linien;L027, L077;Hauptbahnhof;71603;351322
Botanischer Garten;LINZ Linien;L027;Chemiepark;69886;351102
Botanischer Garten;LINZ Linien;L027;Fernheizkraftwerk;69886;351102
Broschgasse;LINZ Linien;L033;Pleschinger See;71273;354186
Broschgasse;LINZ Linien;L033;Riesenhof;71273;354186
Brucknerhaus;LINZ Linien;L026;St. Margarethen;71361;352915
Brucknerhaus;LINZ Linien;L026;Stadion;71361;352915
Bulgariplatz;LINZ Linien;L001, L002;Auwiesen;72003;350083
Bulgariplatz;LINZ Linien;L001, L002;Universitaet;72003;350083
BÅrgerstrasse;LINZ Linien;L001, L002, L003;Rudolfstrasse;71140;351589
BÅrgerstrasse;LINZ Linien;L001, L002, L003;Hauptbahnhof;71140;351589
Chemiepark;LINZ Linien;L025;Oed, Karlhof;73441;350416
Chemiepark;LINZ Linien;L027;Endhaltestelle;73441;350416
Darrgutstrasse;LINZ Linien;L045;Hauptbahnhof;72312;352029
Darrgutstrasse;LINZ Linien;L045;Stieglbauernstrasse;72312;352029
Dauphinestrasse;LINZ Linien;L001;Universitaet;72890;346531
Dauphinestrasse;LINZ Linien;L001;Auwiesen;72890;346531
Deutlweg;LINZ Linien;L103;VOEST Alpine;72640;348916
Die·enleitenweg;LINZ Linien;L102;Worathweg;70069;353927
Die·enleitenweg;LINZ Linien;L102;Rudolfstrasse;70069;353927
Dinghoferstrasse;LINZ Linien;L012, L017, L019;Hauptbahnhof;71674;351528
Dinghoferstrasse;LINZ Linien;L012, L017, L019;Karlhof, Fernheizkraftwerk;71674;351528
Dinghoferstrasse;LINZ Linien;L041, L043;Hessenplatz;71674;351528
Don Bosco;LINZ Linien;L025, L027;Chemiepark, Oed;73086;350773
Don Bosco;LINZ Linien;L025, L027;Karlhof, Fernheizkraftwerk;73086;350773
Donautal;LINZ Linien;L026, L192;St. Margarethen, Stadtplatz Leonding;69707;352149
Donautal;LINZ Linien;L026, L192;Stadion, Theatergasse;69707;352149
Donnererweg;LINZ Linien;L102;Rudolfstrasse;69646;355265
Donnererweg;LINZ Linien;L102;Worathweg;69646;355265
Dornach;LINZ Linien;L001, L002;Auwiesen, solarCity;72684;355314
Dornach;LINZ Linien;L001, L002;Universitaet;72684;355314
Drosselweg;LINZ Linien;L011, L019, L105;Pichlinger See, SueÅdpark Linz;76837;345537
Drosselweg;LINZ Linien;L011, L019, L105;Meixnerkreuzung, Siriusweg;76837;345537
DÅrerstrasse;LINZ Linien;L001;Universitaet;73154;346662
DÅrerstrasse;LINZ Linien;L001;Auwiesen;73154;346662
DÅrerstrasse;LINZ Linien;L011, L019;Meixnerkreuzung;73154;346662
DÅrerstrasse;LINZ Linien;L011, L019;Pichlinger See;73154;346662
Ebelsberg;LINZ Linien;L002;Universitaet;73917;345765
Ebelsberg;LINZ Linien;L011, L019;Pichlinger See;73917;345765
Ebelsberg;LINZ Linien;L011, L019;Meixnerkreuzung;73917;345765
Ebelsberg;LINZ Linien;L002;solarCity;73917;345765
Edmund-Aigner-Strasse;LINZ Linien;L002;Universitaet;74223;345169
Edmund-Aigner-Strasse;LINZ Linien;L002;solarCity;74223;345169
Eduard-Suess-Strasse;LINZ Linien;L011, L019;Pichlinger See;70430;346680
Ehrentletzbergerstrasse;LINZ Linien;L017, L073;Hitzing, Baintwiese;73900;352552
Ehrentletzbergerstrasse;LINZ Linien;L017;Fernheizkraftwerk;73900;352552
Eichendorffstrasse;LINZ Linien;L012, L041, L043;Auwiesen;70946;347878
Eichendorffstrasse;LINZ Linien;L012, L041, L043;Karlhof, Hessenplatz;70946;347878
Einschnitt;LINZ Linien;L050;Hauptplatz;68621;353775
Eisenhof;LINZ Linien;L027;Fernheizkraftwerk;72632;353445
Eisenhof;LINZ Linien;L027;Chemiepark;72632;353445
Eisenwerkstrasse;LINZ Linien;L025;Karlhof;72190;349147
Eisenwerkstrasse;LINZ Linien;L025;Oed;72190;349147
Enenkelstrasse;LINZ Linien;L011, L019;Pichlinger See;72206;346600
Enenkelstrasse;LINZ Linien;L011, L019;Meixnerkreuzung;72206;346600
Ennsfeld;LINZ Linien;L002;solarCity;74659;345459
Ennsfeld;LINZ Linien;L002;Universitaet;74659;345459
EsterbachbrueÅcke;LINZ Linien;L033;Riesenhof;74553;354718
EsterbachbrueÅcke;LINZ Linien;L033;Pleschinger See;74553;354718
Europaplatz;LINZ Linien;L025;Oed;72000;351649
Europaplatz;LINZ Linien;L012, L017, L019, L077;Auwiesen, Hitzing, Pichlinger See, Hauptbahnhof;72000;351649
Europaplatz;LINZ Linien;L017, L019, L073, L077;Fernheizkraftwerk, Universitaet Nord;72000;351649
Europaplatz;LINZ Linien;L012, L025;Karlhof;72000;351649
Europastrasse;LINZ Linien;L025;Karlhof;70518;347799
Europastrasse;LINZ Linien;L025;Oed;70518;347799
Fa. Plasser;LINZ Linien;L017, L073;Hitzing, Baintwiese;73307;352502
Fa. Plasser;LINZ Linien;L017;Fernheizkraftwerk;73307;352502
Fadingerstrasse;LINZ Linien;L045, L046, L073;Froschberg, Baintwiese;71336;351951
Falterweg;LINZ Linien;L011, L019;Pichlinger See;76256;346399
Falterweg;LINZ Linien;L011, L019;Meixnerkreuzung;76256;346399
Ferdinand Markl Strasse;LINZ Linien;L001, L002;Universitaet;71483;355549
Ferdinand Markl Strasse;LINZ Linien;L001, L002;Auwiesen, solarCity;71483;355549
Fernheizkraftwerk;LINZ Linien;L017, L027, L073;Endhaltestelle;73468;351627
Fernheizkraftwerk;LINZ Linien;L019;Pichlinger See;73468;351627
Florianer Strasse;LINZ Linien;L011, L019;Pichlinger See;74250;345515
Florianer Strasse;LINZ Linien;L104;Waldesruh;74250;345515
Florianer Strasse;LINZ Linien;L011, L019;Meixnerkreuzung;74250;345515
Florianer Strasse;LINZ Linien;L104;Sennweg;74250;345515
Floetzerweg;LINZ Linien;L011, L019;Pichlinger See;72488;346603
Floetzerweg;LINZ Linien;L011, L019;Meixnerkreuzung;72488;346603
FMA;LINZ Linien;L018;VOEST Alpine;74797;348228
FMA;LINZ Linien;L018;Simonystrasse;74797;348228
Frachtenbahnhof;LINZ Linien;L027;Fernheizkraftwerk;72199;350954
Frachtenbahnhof;LINZ Linien;L027;Chemiepark;72199;350954
Franckstrasse;LINZ Linien;L025;Karlhof;72322;351389
Franckstrasse;LINZ Linien;L025, L027;Chemiepark;72322;351389
Franckstrasse;LINZ Linien;L027;Fernheizkraftwerk;72322;351389
Franzosenhausweg;LINZ Linien;L071;Baintwiese;71399;345893
Franzosenhausweg;LINZ Linien;L073;Fernheizkraftwerk;71399;345893
Freinberg;LINZ Linien;L026;Stadion;69364;351556
Freinberg;LINZ Linien;L026;St. Margarethen;69364;351556
Friedhofstrasse;LINZ Linien;L027, L041, L043;Fernheizkraftwerk, Hessenplatz;71684;351139
Friedhofstrasse;LINZ Linien;L027, L041, L043;Chemiepark, Baintwiese, Stadtfriedhof Linz;71684;351139
Froschberg;LINZ Linien;L017, L019, L026, L027;Fernheizkraftwerk, Stadion, Chemiepark;69707;350857
Froschberg;LINZ Linien;L017, L019, L026, L027;Hitzing, Pichlinger See, St. Margarethen;69707;350857
Froschberg;LINZ Linien;L045, L046;Endhaltestelle;69707;350857
Further Weg;LINZ Linien;L033;Riesenhof;73398;354945
Further Weg;LINZ Linien;L033;Pleschinger See;73398;354945
Gallanderstrasse;LINZ Linien;L027;Chemiepark;72165;353741
Gallanderstrasse;LINZ Linien;L027;Fernheizkraftwerk;72165;353741
Garnisonstrasse;LINZ Linien;L046, L073;Hauptbahnhof, Froschberg;72205,5;352374,3
Garnisonstrasse;LINZ Linien;L045;Hauptbahnhof;72205,5;352374,3
Garnisonstrasse;LINZ Linien;L045, L046, L070, L071;Stieglbauernstrasse, Hafen;72205,5;352374,3
Ghegastrasse;LINZ Linien;L027;Chemiepark;70668;350103
Glaserstrasse;LINZ Linien;L001, L002;Auwiesen, solarCity;72387;355401
Glaserstrasse;LINZ Linien;L001, L002;Universitaet;72387;355401
Glimpfingerstrasse;LINZ Linien;L103;VOEST Alpine;72337;348959
Goethekreuzung;LINZ Linien;L012, L017, L019;Europaplatz;71183;351326
Goethekreuzung;LINZ Linien;L001, L002, L003;Hauptbahhof;71183;351326
Goethekreuzung;LINZ Linien;L001, L002, L003;Universitaet, Landgutstrasse;71183;351326
Goethekreuzung;LINZ Linien;L012, L017, L019;Hauptbahnhof;71183;351326
Gruberstrasse;LINZ Linien;L045, L046, L070, L071;Stieglbauernstrasse, Hafen;71796;352136
Gruberstrasse;LINZ Linien;L045, L046, L073;Hauptbahnhof;71796;352136
Gruberstrasse;LINZ Linien;L012, L025;Europaplatz;71796;352136
Gruberstrasse;LINZ Linien;L012, L025;Karlhof;71796;352136
GrÅuendberg;LINZ Linien;L038;Rudolfstrasse;71003;355354
GrÅuendberg;LINZ Linien;L001, L002;Auwiesen, solarCity;71003;355354
GrÅuendberg;LINZ Linien;L001, L002;Universitaet;71003;355354
GrÅuendberg;LINZ Linien;L038;Jaeger im Tal;71003;355354
Hafen;LINZ Linien;L027;Fernheizkraftwerk;72835;352876
Hafen;LINZ Linien;L046;Endhaltestelle;72835;352876
Hafen;LINZ Linien;L073;Baintwiese;72835;352876
Hafen;LINZ Linien;L070, L071;Hauptbahnhof;72835;352876
Hafen;LINZ Linien;L027;Chemiepark;72835;352876
Hagen;LINZ Linien;L050;Hauptplatz;69359;352910
Hagen;LINZ Linien;L050;Poestlingberg;69359;352910
Hamerlingstrasse;LINZ Linien;L041, L043;Baintwiese, Stadtfriedhof;71784;350801
Hanriederstrasse;LINZ Linien;L027;Chemiepark;70332;350156
Hanriederstrasse;LINZ Linien;L027;Fernheizkraftwerk;70332;350156
Hanuschstrasse;LINZ Linien;L041, L043;Baintwiese, Stadtfriedhof;71191;349964
Hanuschstrasse;LINZ Linien;L041, L043;Hessenplatz;71191;349964
Harbach;LINZ Linien;L038;Jaeger im Tal;70604;354730
Harbach;LINZ Linien;L001, L002;Auwiesen, solarCity;70604;354730
Harbach;LINZ Linien;L001, L002;Universitaet;70604;354730
Harbach;LINZ Linien;L102;Worathweg;70604;354730
Harbach;LINZ Linien;L038, L102;Rudolfstrasse;70604;354730
Harbachsiedlung;LINZ Linien;L038;Rudolfstrasse;70823;355051
Harbachsiedlung;LINZ Linien;L001, L002;Auwiesen, solarCity;70823;355051
Harbachsiedlung;LINZ Linien;L001, L002;Universitaet;70823;355051
Harbachsiedlung;LINZ Linien;L038;Jaeger im Tal;70823;355051
Harruckerstrasse;LINZ Linien;L038;Jaeger im Tal;70495;354080
Harruckerstrasse;LINZ Linien;L038;Rudolfstrasse;70495;354080
Hartheimer Strasse;LINZ Linien;L002;Universitaet;74430;345204
Hartheimer Strasse;LINZ Linien;L104;Sennweg;74430;345204
Hartheimer Strasse;LINZ Linien;L104;Waldesruh;74430;345204
Hartheimer Strasse;LINZ Linien;L002;solarCity;74430;345204
Hatschekstrasse;LINZ Linien;L041, L043;Baintwiese, Stadtfriedhof;71319;348954
Hatschekstrasse;LINZ Linien;L041, L043;Hessenplatz;71319;348954
Hauderweg;LINZ Linien;L002;Universitaet;73992;345510
Hauderweg;LINZ Linien;L104;Sennweg;73992;345510
Hauderweg;LINZ Linien;L104;Waldesruh;73992;345510
Hauderweg;LINZ Linien;L002;solarCity;73992;345510
Hauptbahnhof;LINZ Linien;L012, L017, L019;Waldeggstrasse;71153,31;350744,07
Hauptbahnhof;LINZ Linien;L001, L002, L003;Auwiesen, solarCity, Doblerholz;71153,31;350744,07
Hauptbahnhof;LINZ Linien;L001, L002, L003;Universitaet, Landgutstrasse;71153,31;350744,07
Hauptbahnhof/Busterminal;LINZ Linien;L046;Hafen;71218,03;350864,51
Hauptbahnhof/Busterminal;LINZ Linien;L077;Endhaltestelle;71218,03;350864,51
Hauptbahnhof/Busterminal;LINZ Linien;L045;Endhaltestelle;71218,03;350864,51
Hauptbahnhof/Kaerntnerstrasse;LINZ Linien;L012, L017, L019, L027, L046, L070, L071, L073;Auwiesen, Froschberg;71072;350777,45
Hauptbahnhof/Kaerntnerstrasse;LINZ Linien;L012, L017, L019, L027, L046, L070, L071, L073;Karlhof, Fernheizkraftwerk;71072;350777,45
Hauptplatz;LINZ Linien;L192;St. Margarethen;70742;352448
Hauptplatz;LINZ Linien;L001, L002, L003;Hauptbahnhof;70742;352448
Hauptplatz;LINZ Linien;L001, L002, L003;Universitaet, Landgutstrasse;70742;352448
Hauptplatz;LINZ Linien;L050;Endhaltestelle;70742;352448
Hausleitnerweg;LINZ Linien;L103;VOEST Alpine;71869,22;348376,93
Haydnstrasse;LINZ Linien;L103;VOEST Alpine;72231;348505
Heilhamer Weg;LINZ Linien;L012, L025;Auwiesen, Oed;71179;353825
Heilhamer Weg;LINZ Linien;L012, L025;Karlhof;71179;353825
Helmholtzstrasse;LINZ Linien;L011, L019;Meixnerkreuzung;70180;346725
Helmholtzstrasse;LINZ Linien;L011, L019;Pichlinger See;70180;346725
Herz-Jesu-Kirche;LINZ Linien;L001, L002;Auwiesen, solarCity;71828;350319
Herz-Jesu-Kirche;LINZ Linien;L001, L002;Universitaet;71828;350319
Hessenplatz;LINZ Linien;L041, L043;Baintwiese, Stadtfriedhof;71315;351859
Hillerstrasse;LINZ Linien;L002;Universitaet;74858;346018
Hillerstrasse;LINZ Linien;L011, L019;Pichlinger See;74858;346018
Hillerstrasse;LINZ Linien;L011, L019;Meixnerkreuzung;74858;346018
Hillerstrasse;LINZ Linien;L002;solarCity;74858;346018
Hoher Damm;LINZ Linien;L050;Hauptplatz;68583;353633
Hollabererstrasse;LINZ Linien;L017;Fernheizkraftwerk;73942;352183
Hollabererstrasse;LINZ Linien;L017, L073;Hitzing, Hafen;73942;352183
Holzstrasse;LINZ Linien;L027;Chemiepark;71978;353020
Holzstrasse;LINZ Linien;L027;Fernheizkraftwerk;71978;353020
Hopfengasse;LINZ Linien;L027;Chemiepark;70390;351660
Hopfengasse;LINZ Linien;L027;Fernheizkraftwerk;70390;351660
Hoerschingergutstrasse;LINZ Linien;L102;Worathweg;70233;353706
Hoerschingergutstrasse;LINZ Linien;L102;Rudolfstrasse;70233;353706
Hoerzingerstrasse;LINZ Linien;L012, L041, L043;Auwiesen, Baintwiese, Stadtfriedhof;71133;347206
Hoerzingerstrasse;LINZ Linien;L012, L041, L043;Karlhof, Hessenplatz;71133;347206
Humboldtstrasse;LINZ Linien;L012, L017, L019;Hauptbahnhof;71456;351440
Humboldtstrasse;LINZ Linien;L012, L017, L019;Europaplatz;71456;351440
Humboldtstrasse;LINZ Linien;L041, L043;Baintwiese, Stadtfriedhof;71456;351440
Im Haidgattern;LINZ Linien;L041, L071;Hessenplatz, Hauptbahnhof;70951;346222
Im Haidgattern;LINZ Linien;L041, L073;Baintwiese;70951;346222
Im HÅuetterland;LINZ Linien;L011, L012, L019;Meixnerkreuzung, Karlhof;71323;346473
Im HÅuetterland;LINZ Linien;L011, L012, L019;Pichlinger See, Auwiesen;71323;346473
Im Schlantenfeld;LINZ Linien;L101;Aichinger;71945;355140
Im Schlantenfeld;LINZ Linien;L101;Urnenhain Urfahr;71945;355140
Industriezeile;LINZ Linien;L027;Fernheizkraftwerk;73137,13;352137,45
Industriezeile;LINZ Linien;L017, L019, L070, L071;Hauptbahnhof;73137,13;352137,45
Industriezeile;LINZ Linien;L017, L019, L073;Fernheizkraftwerk;73137,13;352137,45
Industriezeile;LINZ Linien;L027;Chemiepark;73137,13;352137,45
Jaeger im Tal;LINZ Linien;L038;Endhaltestelle;71161;356951
Jaegermayr;LINZ Linien;L026;Stadion;69330;351763
Jaegermayr;LINZ Linien;L026;St. Margarethen;69330;351763
Johann-Strauss-Strasse;LINZ Linien;L017, L019, L045, L046;Froschberg;70357;350674
Johann-Strauss-Strasse;LINZ Linien;L017, L019, L045, L046;Hauptbahnhof;70357;350674
Kaplanhofstrasse;LINZ Linien;L012, L025;Karlhof;71761;352509
Kaplanhofstrasse;LINZ Linien;L012, L025;Auwiesen, Oed;71761;352509
Kaplitzstrasse;LINZ Linien;L012, L041, L043;Auwiesen, Baintwiese, Stadtfriedhof;71092;347524
Kaplitzstrasse;LINZ Linien;L012, L041, L043;Karlhof, Hessenplatz;71092;347524
Karl-Wiser-Strasse;LINZ Linien;L045, L046;Stieglbauernstrasse, Hafen;70844;351252
Karl-Wiser-Strasse;LINZ Linien;L045, L046;Hauptbahnhof;70844;351252
Karlhof;LINZ Linien;L038, L102;Jaeger im Tal, Worathweg;70503;354357
Karlhof;LINZ Linien;L038, L102;Rudolfstrasse;70503;354357
Karlhof;LINZ Linien;L012, L025;Endhaltestelle;70503;354357
Karlhofschule;LINZ Linien;L102;Rudolfstrasse;70378;354105
Karlhofschule;LINZ Linien;L102;Worathweg;70378;354105
Kaserne;LINZ Linien;L002;Universitaet;74768;345674
Kaserne;LINZ Linien;L011, L019;Pichlinger See;74768;345674
Kaserne;LINZ Linien;L011, L019;Meixnerkreuzung;74768;345674
Kaserne;LINZ Linien;L002;solarCity;74768;345674
Katzbach;LINZ Linien;L033;Riesenhof;74251;354866
Katzbach;LINZ Linien;L033;Pleschinger See;74251;354866
Katzbachweg;LINZ Linien;L033;Pleschinger See;74005;354864
Katzbachweg;LINZ Linien;L033;Riesenhof;74005;354864
Keferfeld;LINZ Linien;L012;Auwiesen;70092;349204
Keferfeld;LINZ Linien;L012;Karlhof;70092;349204
Klammstrasse;LINZ Linien;L027;Fernheizkraftwerk;70488;352013
Klammstrasse;LINZ Linien;L027;Chemiepark;70488;352013
Klettfischerweg;LINZ Linien;L105;SueÅdpark Linz;77116;346050
Klettfischerweg;LINZ Linien;L011, L019;Pichlinger See;77116;346050
Klettfischerweg;LINZ Linien;L011, L019, L105;Meixnerkreuzung, Siriusweg;77116;346050
Knabenseminarstrasse;LINZ Linien;L102;Rudolfstrasse;70304;353461
Knabenseminarstrasse;LINZ Linien;L033, L038;Pleschinger See, Jaeger im Tal;70304;353461
Knabenseminarstrasse;LINZ Linien;L102;Worathweg;70304;353461
Knabenseminarstrasse;LINZ Linien;L033, L038;Riesenhof, Rudolfstrasse;70304;353461
Kokerei;LINZ Linien;L025;Karlhof;73345;349803
Kokerei;LINZ Linien;L025;Oed;73345;349803
Kopernikusstrasse;LINZ Linien;L025;Oed;71714;348852
Kopernikusstrasse;LINZ Linien;L025;Karlhof;71714;348852
Kudlichstrasse;LINZ Linien;L012, L027;Karlhof, Chemiepark;70754;350094
Kudlichstrasse;LINZ Linien;L012;Auwiesen;70754;350094
Kudlichstrasse;LINZ Linien;L027;Fernheizkraftwerk;70754;350094
Lamprechtgang;LINZ Linien;L103;VOEST Alpine;72010;348781
Landgutstrasse;LINZ Linien;L003;Endhaltestelle;70074;352940
Landgutstrasse;LINZ Linien;L050;Poestlingberg;70074;352940
Landgutstrasse;LINZ Linien;L033;Pleschinger See;70074;352940
Landgutstrasse;LINZ Linien;L033;Riesenhof;70074;352940
Landwiedstrasse;LINZ Linien;L025;Oed;70744;348118
Landwiedstrasse;LINZ Linien;L012, L041, L043;Auwiesen, Baintwiese, Stadtfriedhof;70744;348118
Landwiedstrasse;LINZ Linien;L012;Karlhof;70744;348118
Landwiedstrasse;LINZ Linien;L025, L041, L043;Karlhof, Hessenplatz;70744;348118
Laskahofstrasse;LINZ Linien;L011, L012, L019, L073;Meixnerkreuzung, Karlhof;70980;346555
Laskahofstrasse;LINZ Linien;L011, L012, L019, L071;Pichlinger See, Auwiesen, Baintwiese;70980;346555
Laskahofstrasse;LINZ Linien;L041, L071;Hessenplatz, Hauptbahnhof;70980;346555
Laskahofstrasse;LINZ Linien;L041, L073;Baintwiese;70980;346555
Lederergasse;LINZ Linien;L012, L025;Auwiesen, Oed;71697;352834
Lederergasse;LINZ Linien;L027;Fernheizkraftwerk;71697;352834
Lederergasse;LINZ Linien;L012, L025;Karlhof;71697;352834
Lederergasse;LINZ Linien;L027;Chemiepark;71697;352834
Leitenbauerstrasse;LINZ Linien;L101;Urnenhain Urfahr;71987;355818
Leitenbauerstrasse;LINZ Linien;L101;Aichinger;71987;355818
Lenkstrasse;LINZ Linien;L104;Sennweg;73656;344901
Leondinger Strasse;LINZ Linien;L045, L046;Froschberg;69776;350816
Leonfeldner Strasse;LINZ Linien;L033, L038;Riesenhof, Rudolfstrasse;70512;353694
Leonfeldner Strasse;LINZ Linien;L033;Pleschinger See;70512;353694
Leonfeldner Strasse;LINZ Linien;L038;Jaeger im Tal;70512;353694
Lettner;LINZ Linien;L104;Sennweg;75671;344636
Lettner;LINZ Linien;L104;Waldesruh;75671;344636
Linke BrÅueckenstrasse;LINZ Linien;L012, L025;Auwiesen, Oed;70972;353975
Linke BrÅueckenstrasse;LINZ Linien;L001, L002;Auwiesen, solarCity;70972;353975
Linke BrÅueckenstrasse;LINZ Linien;L001, L002;Universitaet;70972;353975
Linke BrÅueckenstrasse;LINZ Linien;L033;Riesenhof;70972;353975
Linke BrÅueckenstrasse;LINZ Linien;L012, L025;Karlhof;70972;353975
Linke BrÅueckenstrasse;LINZ Linien;L033;Pleschinger See;70972;353975
Lissfeld;LINZ Linien;L103;VOEST Alpine;71642;348350
Lonstorferplatz;LINZ Linien;L025, L027;Karlhof, Fernheizkraftwerk;72785;351014
Lonstorferplatz;LINZ Linien;L025, L027;Chemiepark, Oed;72785;351014
LueÅfteneggerstrasse;LINZ Linien;L026, L027;Stadion, Chemiepark;71492;352615
LueÅfteneggerstrasse;LINZ Linien;L026, L027;St. Margarethen, Fernheizkraftwerk;71492;352615
Maderleithnerweg;LINZ Linien;L101;Urnenhain Urfahr;72036;356423
Maderleithnerweg;LINZ Linien;L101;Aichinger;72036;356423
Magdalenastrasse;LINZ Linien;L101;Aichinger;71793;355822
Magdalenastrasse;LINZ Linien;L101;Urnenhain Urfahr;71793;355822
Marienberg;LINZ Linien;L101;Aichinger;71748;356024
Marienberg;LINZ Linien;L101;Urnenhain Urfahr;71748;356024
Mariendom;LINZ Linien;L045, L046;Stieglbauernstrasse, Hafen;70864;351797
Mariendom;LINZ Linien;L045, L046;Hauptbahnhof;70864;351797
Mayrhoferstrasse;LINZ Linien;L071;Baintwiese;70636;344921
Mayrhoferstrasse;LINZ Linien;L073;Hessenplatz;70636;344921
Meggauerstrasse;LINZ Linien;L012;Auwiesen;70518;348447
Meggauerstrasse;LINZ Linien;L012;Karlhof;70518;348447
Metzstrasse;LINZ Linien;L017, L073;Hitzing, Hafen;73689;352631
Metzstrasse;LINZ Linien;L017;Fernheizkraftwerk;73689;352631
Mitterweg;LINZ Linien;L011, L019;Pichlinger See;71893;346485
Mitterweg;LINZ Linien;L012;Auwiesen;71893;346485
Mitterweg;LINZ Linien;L011, L012, L019;Meixnerkreuzung, Karlhof;71893;346485
